SpT,g,r,i,z,SpT Number
O5V,-0.7236663842019961,0.01010322112681905,0.09865830112794072,0.1098311849704725,0.5
O9V,-0.7051614859113258,0.00989234333020228,0.1016880654006318,0.10663851797435875,0.9
B0V,-0.7135542350781563,0.010091820930338002,0.10236378343948438,0.10853975191459497,1.0
B1V,-0.6849027735611273,0.008630174128585466,0.10700998394183081,0.10948372049232447,1.1
B3V,-0.6725293111446184,0.008069548554544781,0.1109626575118785,0.110364770510893,1.3
B57V,-0.6546534336060432,0.005764726186676228,0.112576793489513,0.11130166230017302,1.6
B8V,-0.6493585273237805,0.006539078609270277,0.11202203647166975,0.11644344009174645,1.8
B9V,-0.6289815570684727,0.00464193824725001,0.11068864284063551,0.11760875447505192,1.9
A0V,-0.6098606098617978,0.005380710489617968,0.11336088433647085,0.12017393319321101,2.0
A2V,-0.6064569883151378,0.0037832870587397593,0.11541378705174488,0.11978055761995243,2.2
A3V,-0.591573803191979,0.004258446021852436,0.11728073117876825,0.11668308163707408,2.3
A5V,-0.5714262210007508,0.003891587304796218,0.11730869133101152,0.12374683916606166,2.5
A7V,-0.5585591686824749,0.00034850906319405794,0.1212731755933838,0.1251751728213737,2.7
F0V,-0.5314583956851742,-0.0021935551979321843,0.12590401660473738,0.12341446698143343,3.0
F2V,-0.5029348367434991,-0.0034874249576581917,0.12909184307831545,0.12465370783922936,3.2
F5V,-0.4941746634504156,-0.003372998432162433,0.12925246227143283,0.12211252405856143,3.5
F6V,-0.47344854689218785,-0.004710290928027661,0.13207459453955117,0.13038047186728008,3.6
F8V,-0.45765284434684794,-0.006163015407935291,0.13356183211190498,0.13170740902676847,3.8
G0V,-0.4499100004729648,-0.008247585154652626,0.13521580098840857,0.12922129768947954,4.0
G2V,-0.43936059632487456,-0.008038391416381074,0.1360778880881952,0.1299546666617104,4.2
G5V,-0.42184797286112463,-0.009938633939841068,0.1352902682053525,0.12985777386655784,4.5
G8V,-0.4069536970920282,-0.009377589927174412,0.13771687163948165,0.12947610075409877,4.8
K0V,-0.3851165744844831,-0.011010693755052259,0.13876783282310434,0.1329679943176867,5.0
K2V,-0.36642812655630763,-0.012609512533087397,0.14144328327291866,0.13206060668302833,5.2
K3V,-0.3623039842548792,-0.014099993035909364,0.14521917306023902,0.1312613215118219,5.3
K4V,-0.322778999401244,-0.015164327628301777,0.14721119510403113,0.13566997334933717,5.4
K5V,-0.3018305669678192,-0.02033915590500257,0.15224799924591892,0.13930646291887072,5.5
K7V,-0.23850790314535786,-0.02536618908337651,0.16475033127594685,0.14100632119861345,5.7
M0V,-0.26407499388080247,-0.024847189997910135,0.17172479886137637,0.14660988257343632,6.0
M1V,-0.23436637948790384,-0.02881434843327746,0.18527499830915595,0.15090040576595065,6.1
M2V,-0.206455327772197,-0.03816662430753581,0.19066781630134422,0.15439849552956808,6.2
M2.5V,-0.1894181438615501,-0.041708361678326256,0.2123418808218105,0.1522455749583571,6.2
M3V,-0.15666440042647167,-0.04569471728145835,0.21856576307037479,0.15597128183481246,6.3
M4V,-0.13385617995124477,-0.04804796102794384,0.22842371435489994,0.16727495281684313,6.4
M5V,-0.11305577083816587,-0.05244935882556412,0.2553662912639787,0.16725720454042303,6.5
M6V,-0.05113779861751944,-0.05603041810377363,0.29893576547612,0.18598284694345857,6.6
O8III,-0.7119878713940206,0.010672905752345585,0.09962151558175592,0.11008065594341865,0.8
B12III,-0.69038551680576,0.008941494048121612,0.10776631226368139,0.1062105778752791,1.1
B3III,-0.6660556778686146,0.010878508415203214,0.11046816880442734,0.11198505466308717,1.3
B5III,-0.6554592272028152,0.005965585938186635,0.1119037602930657,0.11500102122158928,1.5
B9III,-0.6407656840799021,0.004832983491009912,0.11104353545092138,0.12110782371326678,1.9
A0III,-0.6023654350219054,0.005132455019261073,0.11229710679971028,0.11842343615465545,2.0
A3III,-0.576450896943598,0.00230560951000669,0.113648783286866,0.1206340720367205,2.3
A5III,-0.5640385115172215,0.0023067613336262838,0.1145046779397152,0.12560748366427,2.5
A7III,-0.5578328508506765,-0.00034523692062826683,0.1203175522273856,0.1212689007311063,2.7
F0III,-0.5399055053013271,-0.0008350160591028555,0.12551940091385738,0.12616650036499344,3.0
F2III,-0.5003963973704959,-0.004334001586242309,0.12595942324071707,0.12836964335223122,3.2
F5III,-0.4985524227531233,-0.004852889076010669,0.12843764495278442,0.12818038278487265,3.5
G0III,-0.43240881305655243,-0.008156771610330793,0.13604957326441358,0.1297512189339578,4.0
G5III,-0.3711228982102135,-0.010085960225719504,0.1397835865788295,0.12898186292846248,4.5
G8III,-0.3790549222354027,-0.009828001759236926,0.1416131760205701,0.1317954552097902,4.8
K0III,-0.344084241980946,-0.012584828761902145,0.14155476987135884,0.13165326460945614,5.0
K1III,-0.31375023472460306,-0.011535366223634824,0.1465646880479632,0.13665060080531077,5.1
K2III,-0.28680042395893857,-0.013888822817161639,0.14749153853219354,0.13583062955222758,5.2
K3III,-0.2536850008767111,-0.012950411477062218,0.14760009102871763,0.13914264040350588,5.3
K4III,-0.23016234293613458,-0.016169512262907304,0.1541624368312089,0.14475686585023162,5.4
K5III,-0.20412111887137208,-0.01933802582540345,0.16138197728208858,0.14247371627920025,5.5
M0III,-0.2095862401834605,-0.015467989198864274,0.17214453349620484,0.14693190564321412,6.0
M1III,-0.20466884880756453,-0.01778746802478537,0.17960092104235237,0.14842071820336855,6.1
M2III,-0.1943538004836558,-0.021119999682552404,0.18358925998458986,0.14924985691909676,6.2
M3III,-0.18887166035257152,-0.024263220274718833,0.19971169844518855,0.1532956673861996,6.3
M4III,-0.1820939808060693,-0.031124980916629852,0.22230137385539983,0.1599317039481658,6.4
M5III,-0.19359789976998343,-0.04217907692358658,0.24722414650315017,0.17360275027837524,6.5
M6III,-0.2060786984716909,-0.050992920586814705,0.28253141086076283,0.18975993725938345,6.6
M7III,-0.2629389401669009,-0.05963103690998928,0.337849301414165,0.21391152971016858,6.7
M8III,-0.2450767597946797,-0.07077874111877769,0.38091786235886715,0.2602226508451757,6.8
M9III,-0.19885743271782097,-0.10134701531417001,0.36342638372640756,0.2690114968360362,6.9
M10III,-0.21155182685665608,-0.14040454958490578,0.3951372306130345,0.2793942730430441,7.0
